Customer Id,Customer Fname,Customer Lname,Customer City,Customer Country,Customer State,Customer Street,Customer Zipcode,Customer Segment
20755,Cally,Holloway,Caguas,Puerto Rico,PR,5365 Noble Nectar Island,725.0,Consumer
19492,Irene,Luna,Caguas,Puerto Rico,PR,2679 Rustic Loop,725.0,Consumer
19491,Gillian,Maldonado,San Jose,EE. UU.,CA,8510 Round Bear Gate,95125.0,Consumer
19490,Tana,Tate,Los Angeles,EE. UU.,CA,3200 Amber Bend,90027.0,Home Office
19489,Orli,Hendricks,Caguas,Puerto Rico,PR,8671 Iron Anchor Corners,725.0,Corporate
19488,Kimberly,Flowers,Tonawanda,EE. UU.,NY,2122 Hazy Corner,14150.0,Consumer
19487,Constance,Terrell,Caguas,Puerto Rico,PR,1879 Green Pine Bank,725.0,Home Office
19486,Erica,Stevens,Miami,EE. UU.,FL,7595 Cotton Log Row,33162.0,Corporate
19485,Nichole,Olsen,Caguas,Puerto Rico,PR,2051 Dusty Route,725.0,Corporate
19484,Oprah,Delacruz,San Ramon,EE. UU.,CA,9139 Blue Blossom Court,94583.0,Corporate
19483,Germane,Short,Caguas,Puerto Rico,PR,4058 Quiet Heights,725.0,Corporate
19482,Freya,Robbins,Freeport,EE. UU.,NY,3243 Shady Corner,11520.0,Consumer
19481,Cassandra,Jensen,Salinas,EE. UU.,CA,131 Sunny Treasure Green,93905.0,Corporate
19480,Natalie,Mcfadden,Caguas,Puerto Rico,PR,2531 Wishing Square,725.0,Corporate
19479,Kimberley,Sharpe,Peabody,EE. UU.,MA,6417 Silver Towers,1960.0,Corporate
19478,Sade,Lancaster,Caguas,Puerto Rico,PR,257 Harvest Close,725.0,Corporate
19477,Brynne,Giles,Canovanas,Puerto Rico,PR,7342 Hazy Beacon Park,729.0,Corporate
19476,Ciara,Bird,Paramount,EE. UU.,CA,7787 Lazy Corners,90723.0,Corporate
19475,Bo,Griffin,Caguas,Puerto Rico,PR,5136 Rustic Pioneer Estates,725.0,Consumer
19474,Kim,Simon,Mount Prospect,EE. UU.,IL,1723 Tawny Via,60056.0,Consumer
19473,Kellie,Farmer,Long Beach,EE. UU.,CA,7111 Silent Fox Gardens,90813.0,Corporate
19472,Alma,Conley,Caguas,Puerto Rico,PR,3732 Old Mountain Bank,725.0,Corporate
19471,Yeo,Bird,Rancho Cordova,EE. UU.,CA,6217 Rustic Lake Forest,95670.0,Corporate
19470,Lucy,Mcknight,Caguas,Puerto Rico,PR,1082 Quiet Treasure Link,725.0,Corporate
19469,Simone,Vance,Billings,EE. UU.,MT,3176 Round Gate,59102.0,Corporate
19468,Roary,Wheeler,Caguas,Puerto Rico,PR,1426 Fallen Line,725.0,Corporate
19467,Quail,Ashley,Wilkes Barre,EE. UU.,PA,9814 Emerald Prairie Limits,18702.0,Consumer
19466,Hannah,Velez,Caguas,Puerto Rico,PR,8271 Tawny Elk Abbey,725.0,Corporate
19465,Evelyn,Kelly,Roseville,EE. UU.,MI,3931 Gentle Ramp,48066.0,Corporate
19464,Jael,Mcfarland,Bellflower,EE. UU.,CA,9699 Honey Rise,90706.0,Consumer
19463,Teagan,Romero,Caguas,Puerto Rico,PR,1564 Rocky Terrace,725.0,Consumer
19462,Joan,Wilder,Wheaton,EE. UU.,IL,4294 High Passage,60187.0,Consumer
19461,Basia,Watts,Caguas,Puerto Rico,PR,5918 Golden Beacon Freeway,725.0,Consumer
19460,Dominique,Rogers,Detroit,EE. UU.,MI,3915 Broad Lookout,48238.0,Consumer
19459,Ainsley,Mathis,Dallas,EE. UU.,TX,7190 Silver Horse Glade,75220.0,Consumer
19458,Aurora,Sharp,Caguas,Puerto Rico,PR,830 Broad Beacon Maze,725.0,Corporate
19457,Libby,Bray,Carlisle,EE. UU.,PA,6127 Dewy Goose Downs,17013.0,Corporate
19456,Amy,Lindsay,Dallas,EE. UU.,TX,1188 Old Abbey,75228.0,Corporate
19455,Ivory,Parks,Caguas,Puerto Rico,PR,7004 Hazy Lake Townline,725.0,Consumer
19454,Karina,Prince,Newark,EE. UU.,DE,2556 Umber Autoroute,19702.0,Consumer
19453,Deanna,Goff,Panorama City,EE. UU.,CA,3722 Thunder Cape,91402.0,Consumer
19452,Dacey,Walters,Caguas,Puerto Rico,PR,2676 Velvet Common,725.0,Home Office
19451,Adele,Pennington,Atlanta,EE. UU.,GA,833 Amber Anchor Glen,30318.0,Home Office
19450,Sybill,Spencer,Caguas,Puerto Rico,PR,830 Quaking Bear Grounds,725.0,Home Office
19449,Kay,Sandoval,Fremont,EE. UU.,CA,1509 Middle Oak Isle,94539.0,Consumer
19448,Stacy,Mckinney,Caguas,Puerto Rico,PR,9712 Fallen Robin Diversion,725.0,Corporate
19447,Marah,Lara,Rochester,EE. UU.,NY,8665 Sunny Deer Woods,14609.0,Corporate
